node,job_id,forecast_id,transfer_time,throughput,host_joules,link_joules,total_joules,avg_ci,carbon_emissions
jgoldverg@gmail.com_ccuc,1,0,10.874699596804417,735652505.0449061,7808.034310505574,13705.66421376861,21513,432.74468085106383,2.586010088652482
jgoldverg@gmail.com_ccuc,3,0,96.60665835969104,8281002713.305717,69363.58070225817,180882.98380139758,250245,432.74468085106383,30.081164627659575
jgoldverg@gmail.com_ccuc,2,0,8669.802534648352,9227430461.10736,6224918.219877515,16898614.942564283,23123532,432.74468085106383,2779.607076524823
jgoldverg@gmail.com_system76,1,0,10.874699596804417,735652505.0449061,7634.039116956703,13705.66421376861,21339,432.74468085106383,2.565094095744681
jgoldverg@gmail.com_system76,3,0,96.60665835969104,8281002713.305717,67817.87416850311,180882.98380139758,248699,432.74468085106383,29.895324828605197
jgoldverg@gmail.com_system76,2,0,8669.802534648352,9227430461.10736,6086201.379323142,16898614.942564283,22984815,432.74468085106383,2762.9323421099293
jgoldverg@gmail.com_tacc,1,0,10.874699596804417,735652505.0449061,8917.253669379625,13705.66421376861,22622,432.74468085106383,2.7193194917257686
jgoldverg@gmail.com_tacc,3,0,96.60665835969104,8281002713.305717,79217.45985494665,180882.98380139758,260099,432.74468085106383,31.265682984633575
jgoldverg@gmail.com_tacc,2,0,8669.802534648352,9227430461.10736,7109238.078411646,16898614.942564283,24007852,432.74468085106383,2885.9084032387705
jgoldverg@gmail.com_ccuc,1,1,10.874699596804417,735652505.0449061,7808.034310505574,13705.66421376861,21513,428.21276595744683,2.558928120567376
jgoldverg@gmail.com_ccuc,3,1,96.60665835969104,8281002713.305717,69363.58070225817,180882.98380139758,250245,428.21276595744683,29.766139893617027
jgoldverg@gmail.com_ccuc,2,1,8669.802534648352,9227430461.10736,6224918.219877515,16898614.942564283,23123532,428.21276595744683,2750.497665673759
jgoldverg@gmail.com_system76,1,1,10.874699596804417,735652505.0449061,7634.039116956703,13705.66421376861,21339,428.21276595744683,2.538231170212766
jgoldverg@gmail.com_system76,3,1,96.60665835969104,8281002713.305717,67817.87416850311,180882.98380139758,248699,428.21276595744683,29.582246300236406
jgoldverg@gmail.com_system76,2,1,8669.802534648352,9227430461.10736,6086201.379323142,16898614.942564283,22984815,428.21276595744683,2733.997557269504
jgoldverg@gmail.com_tacc,1,1,10.874699596804417,735652505.0449061,8917.253669379625,13705.66421376861,22622,428.21276595744683,2.6908414420803783
jgoldverg@gmail.com_tacc,3,1,96.60665835969104,8281002713.305717,79217.45985494665,180882.98380139758,260099,428.21276595744683,30.938253392434994
jgoldverg@gmail.com_tacc,2,1,8669.802534648352,9227430461.10736,7109238.078411646,16898614.942564283,24007852,428.21276595744683,2855.6857526713948
jgoldverg@gmail.com_ccuc,1,2,10.874699596804417,735652505.0449061,7808.034310505574,13705.66421376861,21513,423.29787234042556,2.529557535460993
jgoldverg@gmail.com_ccuc,3,2,96.60665835969104,8281002713.305717,69363.58070225817,180882.98380139758,250245,423.29787234042556,29.424493351063834
jgoldverg@gmail.com_ccuc,2,2,8669.802534648352,9227430461.10736,6224918.219877515,16898614.942564283,23123532,423.29787234042556,2718.9283046099295
jgoldverg@gmail.com_system76,1,2,10.874699596804417,735652505.0449061,7634.039116956703,13705.66421376861,21339,423.29787234042556,2.5090981382978725
jgoldverg@gmail.com_system76,3,2,96.60665835969104,8281002713.305717,67817.87416850311,180882.98380139758,248699,423.29787234042556,29.24271043144208
jgoldverg@gmail.com_system76,2,2,8669.802534648352,9227430461.10736,6086201.379323142,16898614.942564283,22984815,423.29787234042556,2702.617579343972
jgoldverg@gmail.com_tacc,1,2,10.874699596804417,735652505.0449061,8917.253669379625,13705.66421376861,22622,423.29787234042556,2.6599567966903077
jgoldverg@gmail.com_tacc,3,2,96.60665835969104,8281002713.305717,79217.45985494665,180882.98380139758,260099,423.29787234042556,30.583153693853433
jgoldverg@gmail.com_tacc,2,2,8669.802534648352,9227430461.10736,7109238.078411646,16898614.942564283,24007852,423.29787234042556,2822.9090752955085
jgoldverg@gmail.com_ccuc,1,3,10.874699596804417,735652505.0449061,7808.034310505574,13705.66421376861,21513,419.531914893617,2.5070528014184394
jgoldverg@gmail.com_ccuc,3,3,96.60665835969104,8281002713.305717,69363.58070225817,180882.98380139758,250245,419.531914893617,29.162712234042555
jgoldverg@gmail.com_ccuc,2,3,8669.802534648352,9227430461.10736,6224918.219877515,16898614.942564283,23123532,419.531914893617,2694.738794184397
jgoldverg@gmail.com_system76,1,3,10.874699596804417,735652505.0449061,7634.039116956703,13705.66421376861,21339,419.531914893617,2.4867754255319148
jgoldverg@gmail.com_system76,3,3,96.60665835969104,8281002713.305717,67817.87416850311,180882.98380139758,248699,419.531914893617,28.982546583924346
jgoldverg@gmail.com_system76,2,3,8669.802534648352,9227430461.10736,6086201.379323142,16898614.942564283,22984815,419.531914893617,2678.573180673759
jgoldverg@gmail.com_tacc,1,3,10.874699596804417,735652505.0449061,8917.253669379625,13705.66421376861,22622,419.531914893617,2.636291938534279
jgoldverg@gmail.com_tacc,3,3,96.60665835969104,8281002713.305717,79217.45985494665,180882.98380139758,260099,419.531914893617,30.311064314420804
jgoldverg@gmail.com_tacc,2,3,8669.802534648352,9227430461.10736,7109238.078411646,16898614.942564283,24007852,419.531914893617,2797.7944783451535
jgoldverg@gmail.com_ccuc,1,4,10.874699596804417,735652505.0449061,7808.034310505574,13705.66421376861,21513,415.8510638297872,2.48505664893617
jgoldverg@gmail.com_ccuc,3,4,96.60665835969104,8281002713.305717,69363.58070225817,180882.98380139758,250245,415.8510638297872,28.906847074468086
jgoldverg@gmail.com_ccuc,2,4,8669.802534648352,9227430461.10736,6224918.219877515,16898614.942564283,23123532,415.8510638297872,2671.095939361702
jgoldverg@gmail.com_system76,1,4,10.874699596804417,735652505.0449061,7634.039116956703,13705.66421376861,21339,415.8510638297872,2.4649571808510635
jgoldverg@gmail.com_system76,3,4,96.60665835969104,8281002713.305717,67817.87416850311,180882.98380139758,248699,415.8510638297872,28.72826214539007
jgoldverg@gmail.com_system76,2,4,8669.802534648352,9227430461.10736,6086201.379323142,16898614.942564283,22984815,415.8510638297872,2655.072158244681
jgoldverg@gmail.com_tacc,1,4,10.874699596804417,735652505.0449061,8917.253669379625,13705.66421376861,22622,415.8510638297872,2.6131618794326243
