,node,job_id,forecast_id,transfer_time,throughput,host_joules,link_joules,total_joules,avg_ci,carbon_emissions
0,jgoldverg@gmail.com_ccuc,1,0,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,447.0,1.6141666666666665
1,jgoldverg@gmail.com_ccuc,3,0,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,447.0,18.752643333333335
2,jgoldverg@gmail.com_ccuc,2,0,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,447.0,1732.6060216666667
3,jgoldverg@gmail.com_system76,1,0,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,447.0,1.6141666666666665
4,jgoldverg@gmail.com_system76,3,0,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,447.0,18.752643333333335
5,jgoldverg@gmail.com_system76,2,0,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,447.0,1732.6060216666667
6,jgoldverg@gmail.com_ccuc,1,1,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,432.0,1.5599999999999998
7,jgoldverg@gmail.com_ccuc,3,1,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,432.0,18.12336
8,jgoldverg@gmail.com_ccuc,2,1,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,432.0,1674.46488
9,jgoldverg@gmail.com_system76,1,1,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,432.0,1.5599999999999998
10,jgoldverg@gmail.com_system76,3,1,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,432.0,18.12336
11,jgoldverg@gmail.com_system76,2,1,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,432.0,1674.46488
12,jgoldverg@gmail.com_ccuc,1,2,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,416.2142857142857,1.5029960317460318
13,jgoldverg@gmail.com_ccuc,3,2,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,416.2142857142857,17.461114206349208
14,jgoldverg@gmail.com_ccuc,2,2,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,416.2142857142857,1613.2782499603175
15,jgoldverg@gmail.com_system76,1,2,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,416.2142857142857,1.5029960317460318
16,jgoldverg@gmail.com_system76,3,2,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,416.2142857142857,17.461114206349208
17,jgoldverg@gmail.com_system76,2,2,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,416.2142857142857,1613.2782499603175
18,jgoldverg@gmail.com_ccuc,1,3,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,419.57142857142856,1.5151190476190475
19,jgoldverg@gmail.com_ccuc,3,3,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,419.57142857142856,17.60195380952381
20,jgoldverg@gmail.com_ccuc,2,3,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,419.57142857142856,1626.2907911904763
21,jgoldverg@gmail.com_system76,1,3,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,419.57142857142856,1.5151190476190475
22,jgoldverg@gmail.com_system76,3,3,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,419.57142857142856,17.60195380952381
23,jgoldverg@gmail.com_system76,2,3,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,419.57142857142856,1626.2907911904763
24,jgoldverg@gmail.com_ccuc,1,4,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,408.92857142857144,1.476686507936508
25,jgoldverg@gmail.com_ccuc,3,4,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,408.92857142857144,17.155462301587303
26,jgoldverg@gmail.com_ccuc,2,4,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,408.92857142857144,1585.0382668650795
27,jgoldverg@gmail.com_system76,1,4,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,408.92857142857144,1.476686507936508
28,jgoldverg@gmail.com_system76,3,4,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,408.92857142857144,17.155462301587303
29,jgoldverg@gmail.com_system76,2,4,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,408.92857142857144,1585.0382668650795
30,jgoldverg@gmail.com_ccuc,1,5,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,412.7857142857143,1.4906150793650792
31,jgoldverg@gmail.com_ccuc,3,5,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,412.7857142857143,17.317278015873015
32,jgoldverg@gmail.com_ccuc,2,5,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,412.7857142857143,1599.9888461507937
33,jgoldverg@gmail.com_system76,1,5,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,412.7857142857143,1.4906150793650792
34,jgoldverg@gmail.com_system76,3,5,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,412.7857142857143,17.317278015873015
35,jgoldverg@gmail.com_system76,2,5,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,412.7857142857143,1599.9888461507937
36,jgoldverg@gmail.com_ccuc,1,6,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,418.92857142857144,1.5127976190476191
37,jgoldverg@gmail.com_ccuc,3,6,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,418.92857142857144,17.574984523809526
38,jgoldverg@gmail.com_ccuc,2,6,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,418.92857142857144,1623.7990279761907
39,jgoldverg@gmail.com_system76,1,6,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,418.92857142857144,1.5127976190476191
40,jgoldverg@gmail.com_system76,3,6,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,418.92857142857144,17.574984523809526
41,jgoldverg@gmail.com_system76,2,6,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,418.92857142857144,1623.7990279761907
42,jgoldverg@gmail.com_ccuc,1,7,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,427.2857142857143,1.5429761904761903
43,jgoldverg@gmail.com_ccuc,3,7,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,427.2857142857143,17.925585238095238
44,jgoldverg@gmail.com_ccuc,2,7,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,427.2857142857143,1656.1919497619049
45,jgoldverg@gmail.com_system76,1,7,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,427.2857142857143,1.5429761904761903
46,jgoldverg@gmail.com_system76,3,7,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,427.2857142857143,17.925585238095238
47,jgoldverg@gmail.com_system76,2,7,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,427.2857142857143,1656.1919497619049
48,jgoldverg@gmail.com_ccuc,1,8,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,435.85714285714283,1.5739285714285713
49,jgoldverg@gmail.com_ccuc,3,8,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,435.85714285714283,18.285175714285714
50,jgoldverg@gmail.com_ccuc,2,8,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,435.85714285714283,1689.4154592857142
51,jgoldverg@gmail.com_system76,1,8,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,435.85714285714283,1.5739285714285713
52,jgoldverg@gmail.com_system76,3,8,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,435.85714285714283,18.285175714285714
53,jgoldverg@gmail.com_system76,2,8,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,435.85714285714283,1689.4154592857142
54,jgoldverg@gmail.com_ccuc,1,9,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,455.92857142857144,1.6464087301587302
55,jgoldverg@gmail.com_ccuc,3,9,96.60221212516677,8281383856.546121,42504.97333507337,108524.58818644515,151028,455.92857142857144,19.12721674603175
56,jgoldverg@gmail.com_ccuc,2,9,8669.798088413827,9227435193.319054,3814711.1589020854,10139163.763444176,13953874,455.92857142857144,1767.2138440873018
57,jgoldverg@gmail.com_system76,1,9,10.870253362280168,735953407.283039,4782.911479403273,8218.196433867797,13000,455.92857142857144,1.6464087301587302
