node,job_id,forecast_id,transfer_time,throughput,host_joules,link_joules,total_joules,avg_ci,carbon_emissions
jgoldverg@gmail.com-cali,1,0,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,294.29411764705884,25.917420212418303
jgoldverg@gmail.com-cali,1,1,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,292.7647058823529,25.78273044117647
jgoldverg@gmail.com-cali,1,2,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,293.0,25.803451944444443
jgoldverg@gmail.com-cali,1,3,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,292.7647058823529,25.78273044117647
jgoldverg@gmail.com-cali,1,4,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,297.52941176470586,26.20234088235294
jgoldverg@gmail.com-cali,1,5,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,305.94117647058823,26.943134624183006
jgoldverg@gmail.com-cali,1,6,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,315.4117647058824,27.777175130718955
jgoldverg@gmail.com-cali,1,7,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,333.47058823529414,29.36755050653595
jgoldverg@gmail.com-cali,1,8,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,353.3529411764706,31.11851753267974
jgoldverg@gmail.com-cali,1,9,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,362.70588235294116,31.9421972875817
jgoldverg@gmail.com-cali,1,10,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,366.0,32.23229833333333
jgoldverg@gmail.com-cali,1,11,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,362.88235294117646,31.95773841503268
jgoldverg@gmail.com-cali,1,12,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,364.2352941176471,32.07688705882353
jgoldverg@gmail.com-cali,1,13,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,358.6470588235294,31.58475135620915
jgoldverg@gmail.com-cali,1,14,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,356.88235294117646,31.429340081699344
jgoldverg@gmail.com-cali,1,15,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,353.7647058823529,31.15478016339869
jgoldverg@gmail.com-cali,1,16,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,351.5882352941176,30.963106258169933
jgoldverg@gmail.com-cali,1,17,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,353.29411764705884,31.113337156862748
jgoldverg@gmail.com-cali,1,18,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,350.1764705882353,30.83877723856209
jgoldverg@gmail.com-cali,1,19,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,349.29411764705884,30.76107160130719
jgoldverg@gmail.com-cali,1,20,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,337.11764705882354,29.688733807189543
jgoldverg@gmail.com-cali,1,21,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,322.29411764705884,28.383279101307192
jgoldverg@gmail.com-cali,1,22,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,315.88235294117646,27.8186181372549
jgoldverg@gmail.com-cali,1,23,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,308.8235294117647,27.196973039215685
jgoldverg@gmail.com-cali,1,24,106.60601955451219,7504266675.963134,111299.15078322194,205740.52067313108,317039,306.6470588235294,27.005299133986927
