idx,job_id,node,forecast_id,allocated_time,carbon_emissions,throughput,transfer_time,deadline,extendable
0,5,jgoldverg@gmail.com-cali,0,3600.0,640.0965966949667,912221245.350654,8769.80232676431,25,False
0,5,jgoldverg@gmail.com-cali,1,3600.0,638.4543976475873,912221245.350654,8769.80232676431,25,False
0,5,jgoldverg@gmail.com-cali,2,1569.8023267643093,644.367291995931,912221245.350654,8769.80232676431,25,False
1,9,jgoldverg@gmail.com-cali,17,2637.9466566612164,248.7691172772051,909798533.6206988,2637.9466566612164,25,False
2,4,jgoldverg@gmail.com-cali,17,710.7920174859588,66.96108105154644,900404034.169732,710.7920174859588,10,False
3,3,jgoldverg@gmail.com-cali,16,623.1940793416288,58.0212683436416,898596470.2867684,623.1940793416288,3,False
4,7,jgoldverg@gmail.com-cali,16,623.1940793416288,58.0212683436416,898596470.2867684,623.1940793416288,12,False
5,1,jgoldverg@gmail.com-cali,16,447.9982030529691,41.683565565863816,892860724.159436,447.9982030529691,15,False
6,2,jgoldverg@gmail.com-cali,16,447.9982030529691,41.683565565863816,892860724.159436,447.9982030529691,5,False
7,8,jgoldverg@gmail.com-cali,16,272.80232676430927,25.34586278808604,879757892.2680919,272.80232676430927,6,False
8,6,jgoldverg@gmail.com-cali,17,185.2043886199794,17.37707117182135,863910413.7445887,185.2043886199794,8,False
