idx,job_id,node,forecast_id,allocated_time,carbon_emissions,throughput,transfer_time,deadline,extendable
0,1,jgoldverg@gmail.com-cali,17,11.25165398548042,0.9663460348307896,100902134.5186278,11.25165398548042,7,False
1,2,jgoldverg@gmail.com-cali,17,10.008583250610318,0.8490745691153873,6471.245567753106,10.008583250610318,4,False
2,3,jgoldverg@gmail.com-cali,17,10.008579781731967,0.8490742418609222,6154.719385105429,10.008579781731967,2,False
3,4,jgoldverg@gmail.com-cali,17,15.508357900298977,1.3679240731549136,323877503.4914024,15.508357900298977,9,False
4,5,jgoldverg@gmail.com-cali,17,932.1342557348288,87.84253853906843,903457611.4704778,932.1342557348288,25,False
5,6,jgoldverg@gmail.com-cali,17,879.0891607461795,82.83825691306612,902865914.3314884,879.0891607461795,16,False
6,7,jgoldverg@gmail.com-cali,17,10.170972755091762,0.8643944175143015,14587510.907029403,10.170972755091762,1,False
7,8,jgoldverg@gmail.com-cali,17,10.00851348761238,0.8490679876644764,105.5101740440296,10.00851348761238,1,False
8,9,jgoldverg@gmail.com-cali,17,10.02889362971032,0.8509906530995714,1855986.979945428,10.02889362971032,6,False
9,10,jgoldverg@gmail.com-cali,17,10.01959621231032,0.8501135334512036,1010270.6521808978,10.01959621231032,3,False
10,11,jgoldverg@gmail.com-cali,17,298.66346918020105,28.080816584514608,882659128.9641248,298.66346918020105,15,False
11,12,jgoldverg@gmail.com-cali,17,10.012320450205165,0.8494271370440374,347353.64467172395,10.012320450205165,1,False
12,13,jgoldverg@gmail.com-cali,17,51.7991077430598,4.7915984519233055,736804692.1061796,51.7991077430598,11,False
13,14,jgoldverg@gmail.com-cali,17,10.008512602873203,0.8490679041980593,24.778906700762423,10.008512602873203,3,False
14,15,jgoldverg@gmail.com-cali,17,10.008524726427844,0.8490690479358872,1131.0358229029662,10.008524726427844,2,False
15,16,jgoldverg@gmail.com-cali,17,10.201706088739186,0.8672938044776112,17294833.47836828,10.201706088739186,1,False
16,17,jgoldverg@gmail.com-cali,17,65.24032788591444,6.059645026377228,773159839.6655267,65.24032788591444,15,False
17,18,jgoldverg@gmail.com-cali,17,10.014419743552583,0.8496251846698988,538725.5715413154,10.014419743552583,6,False
18,19,jgoldverg@gmail.com-cali,17,29.224976000793824,2.661951729168824,600503314.6827326,29.224976000793824,8,False
19,20,jgoldverg@gmail.com-cali,17,21.922927243567024,1.9730754355966795,496329719.07038,21.922927243567024,16,False
20,21,jgoldverg@gmail.com-cali,17,10.008512585353616,0.849067902545259,23.180267599354085,10.008512585353616,2,False
21,22,jgoldverg@gmail.com-cali,17,96.15067086214124,8.975731074341908,818200111.3730766,96.15067086214124,4,False
22,23,jgoldverg@gmail.com-cali,17,821.7953079042392,77.43314688128743,902141016.0380104,821.7953079042392,11,False
23,24,jgoldverg@gmail.com-cali,17,10.15456100106702,0.8628461303610021,13135074.96641013,10.15456100106702,6,False
24,25,jgoldverg@gmail.com-cali,17,10.008512357598978,0.8490678810588549,2.397958771742732,10.008512357598978,2,False
25,26,jgoldverg@gmail.com-cali,17,10.0097745562897,0.849186957058581,115161.83441670689,10.0097745562897,3,False
