job_id,node,forecast_id,allocated_time,carbon_emissions,throughput
1,jgoldverg@gmail.com-cali,0,447.99777213183177,9.945383103690398,892861582.9863825
2,jgoldverg@gmail.com-cali,0,447.99777213183177,9.945383103690398,892861582.9863825
3,jgoldverg@gmail.com-cali,0,623.1936484204916,19.252394394774175,898597091.6413248
4,jgoldverg@gmail.com-cali,0,710.7915865648215,25.048197858514282,900404580.0444129
7,jgoldverg@gmail.com-cali,0,623.1936484204916,19.252394394774175,898597091.6413248
8,jgoldverg@gmail.com-cali,0,139.0774509700067,1.8783988763259,879759281.9441801
9,jgoldverg@gmail.com-cali,0,607.748121417646,79.53494074881704,909798682.2406422
5,jgoldverg@gmail.com-cali,1,3600.0,1557.640952827354,912221290.1744049
5,jgoldverg@gmail.com-cali,2,1569.801888,679.5153738599749,912221290.1744049
9,jgoldverg@gmail.com-cali,2,2030.1981043224341,264.3001471545947,909798682.2406422
5,jgoldverg@gmail.com-cali,3,3600.0,1557.0103282459877,912221290.1744049
6,jgoldverg@gmail.com-cali,4,185.2039576988421,1.7138796152074889,863912423.8380158
8,jgoldverg@gmail.com-cali,4,133.7244448731653,1.8247560804839955,879759281.9441801
